Review Title,Review description,No of stars,Review given by,Date of review
Amazon fire tablet,I’m in hospital and it’s been a great. I have to keep plugged in because battery life isn’t good and occasionally loose wifi,5.0,Adrian Turner,11 May 2019
Easy to use,I like everything about my fire is 8 that's why I have given it 5 🌟🌟🌟🌟🌟,5.0,Caroline,6 May 2019
Versatile,"Excellent product, primarily for holiday use, taking downloaded films etc",5.0,jerry sadler,15 August 2019
my experience,I used this tablet mainly for downloading books for me to read as being disabled I am unable to get out much. however after 9 months completely finished couldn't even turn it on luckily the place I purchased it from exchanged it for me,3.0,gill robinson,20 August 2019
Ease of use.,I purchased it as a replacement for a kindle fire hd which has served me well but is 6 years old and not able to match the performance of the new model. So far I am impressed overall but as with most renewals there are a few aspects which I find not to my liking.,4.0,JOHN KENNEDY,25 June 2019
Not worth the money,Really slow and unresponsive used for 2 days and sent back,1.0,Tonicviper,9 July 2019
great tablet,I love this tablet it has a very clear bright screen and does everything I need.,5.0,Rod Mitchell,7 December 2018
Love it!,Absolutely love my new tablet. Super handy size but still big enough to watch plenty of Programmes,5.0,Fifi,27 December 2018
"stand alone for photos,YouTube and movies.",does everything it says..not a super quick processor but what do want for 80 quid. Well worth it and pretty robust. Alexei is pretty handy too.,4.0,mark mcdonald,22 April 2019
Excellent item.  Does the job,Really pleased with my new Kindle. Have upgraded from my original 2nd generation Kindle and it is certainly an improvement.,5.0,TRISHA4772,4 December 2018
Fire HD 8,Purchased to stream Amazon HD music To Hi Fi and it works well.,5.0,JKU,13 January 2020
Good buy,I updated from my original Samsung fire that I'd had for a number of years. Very pleased with all aspects of the new one but just feel the battery life is shorter,4.0,cacb,28 June 2019
Great device,"Fabulous screen size,",5.0,Lorraine Cook,18 February 2020
Excellent tablet,"Excellent piece of kit, only problem Show Mode doesn’t work with latest update",5.0,geoff lambeth,21 December 2018
Easy to use...to set up...to play..,I do love the amazon tablet. So much easier to use than Ipad. My only gripes are that it is a tad heavy when using it as a kindle app and the limited apps available. It is brilliant for watching films..tv..listening to music..,4.0,Amazon Customer,14 November 2018
Fantastic upgrade from old Kindle.,This replaced my old Kindle 7 and it is far superior love the additional storage facility too.Great picture quality and easy to navigate.,5.0,Topchimp,5 December 2019
Very good kindle tablet,"Love this kindle tablet, good for reading, emails, playing games, going on-line etc.",5.0,Jules,5 November 2018
"Good product,easy to use","Great tablet easy to use ,looks good",5.0,Brenda  M,24 January 2019
Better then expected,Used as alternative for iPad 2.  Better value.,5.0,Lyn,12 August 2019
Amazon fire tablet,Brilliant I just love it A+++,5.0,Bombom,30 August 2019
Worth the update,Front and back camera plus Alexa,5.0,Mr. D,18 January 2020
HD8 Tablet,"As my old Kindle had deveoped a fault I decided to buy a more tablet like unit. So far it seems OK, wish it had access to / could run other app stores apps.",4.0,Smuff,4 December 2019
Annoying Ads,"Great little tablet but despite paying extra to remove the ads, they are constantly taking up room on the homepage and several other screens. We were under the impression it could be used as a normal Android tablet. See attached images, 6 pages of unwanted programmes !!!!",3.0,mcblade,24 February 2020
Disappointing.,I had to send my previous  fire tablet back because it kept switching itself off. I have just got another one and it does exactly the same thing which is a pity as otherwise it's a good tablet. I think there is a history of these tablets doing this.,2.0,David Fenn,26 October 2019
Amazing value,Incredible value for money (especially as I got it on prime day). I bought it to use as a second screen for my textbook pdfs and Netflix. Serves it purpose perfectly. It's responsive with a long battery life!,5.0,Amazon Customer,1 August 2019
Great tablet,Very happy with this,5.0,Tony Butler,23 September 2019
Nice tablet for the price but...,Nice tablet overall but having the amazon os means having a poor UI and advertisements,3.0,Andrew Donald,7 March 2020
So easy to use,"This product is amazing ,easy to use .",5.0,Amazon Customer,21 November 2018
Kindle fire,"Excellent, I have had another kindle for six years and still going strong and that was why I bought another with a larger memory and the blue light filter",5.0,Kindle Customer,4 December 2018
tablet,only one thing to say. THANKS!!!!,5.0,Ann Gaunt,18 July 2019
Competition an value for comparison against vastly costly competator tablets,"Very easy to connect to wifi router an wifi printer wifi TV Netflix, SKY ,Prime , etc picture perfect internet browser very fast downloading an paid the £10 fee at purchase time to avoid the ""Special Offers"" content Excellent value of money",5.0,Alatchurch,8 August 2019
HD Fire tablet,Brilliant- battery life is great.  Fab little tablet would highly recommend,5.0,Karen Bonehill,17 October 2019
A Great Gift,"Love this new kindle, almost an iPad , well for me it is.",5.0,grannyannie,11 April 2019
5 star,Love it. Have convinced family members to purchase as well. Fast delivery,5.0,Charlotte,18 April 2019
Disappointed,Very disappointed with this purchase. Considering returning it. Bought with the intention of watching Virgin go only to be told by my supplier that Amazon devices are not compatible with virgin. Seems I need an Android device such as Samsung.,3.0,Kindle Customer,16 December 2019
Nice,Good quality,5.0,Mrs Gemma Slater,14 August 2019
"Great price, Great tablet.","I can't fault the new Fire HD 8 tablet with Alexa, superb value for money, you wont find a better tablet for the price.",5.0,M Rowson,25 January 2019
Disappointing,"Just rubbish, dreadful to navigate. Can’t seem to set up the profiles so that my son can use all the tablet. Can’t send it back as persisted with it for to long, no customer care to go to. So very disappointed.",1.0,Becboodle,25 December 2019
Has a use for any age bracket.,This was a gift for my mum who is in her seventies. She loves Pompeii and 'travels' there every day on this device. Suitable for all ages for different reasons.,5.0,Jennifer,1 January 2020
Smashing,Great  really pleased would buy again.,5.0,Pat Tipper,13 May 2019
Good tablet at a great price.,Great little tablet having never owned one before.,5.0,James Shanahan,11 July 2020
Kindle 8Hd,"So glad I got a new kindle 8HD , it uploaded all my books and It is comfortable in the hands.",5.0,Michael Richard Cox,6 June 2020
Good buy,Just right for me I read a lot and love kindle unlimited,5.0,Kindle Customer,14 August 2019
Good performance at a good price,Good and effective performance at a good price,4.0,Paul Hux,4 January 2019
Good upgrade from older model.,Was a good replacement for my older Fire HD. Used mainly for watching tv/films and playing games.,4.0,Denise,20 January 2020
Perfect,Perfect,5.0,Goldchild limited,11 February 2019
V happy,V happy,5.0,Mr. G. Griffiths,4 January 2020
Setting up,I have had trouble getting the fire set up on WI Fi . This is my second Kindle fire he 8 as the old one stopped working.. But I didn't have the bother setting the first one up. Still the Wi-Fi icon has an exclamation mark through it and it keeps asking me to sign in all the time and keeps going round in cicles. Can you help?,3.0,Amazon Customer,19 November 2018
Slow,"I've only used my tablet a few times, and it's so slow. To turn it on and get onto an app, like Facebook, it takes 4-5 minutes. Also the range of apps on the Amazon appstore is nowhere near as good as Google playstore.",1.0,Harrisj06,29 April 2021
Great little device,Just what I wanted & very good price.,5.0,anthony jones,8 August 2019
Good tablet,Bought for son to use kids firem he loves it. Good size and screen quality,4.0,Rina,21 February 2021
As described,As described,5.0,Amazon Customer,12 July 2019
great for the money,well laid out easy to use,5.0,tigerruth,2 December 2018
its ok but not the best,it's ok for some things like watching movies on the go.limited appsby far they biggest flaw was no support for EPUB,3.0,jerry,14 February 2021
Al;ways a great item,LOve it for reading and internet,5.0,Amazon Customer,11 June 2020
👍,Excellent,5.0,Stephen mccracken,12 January 2020
Will never buy another one,This is not a good tablet.as it is so so hard to do anything. I added a kids profile but due to useless apps from amazon store and no access to google play store. Overall not a good tablet.,3.0,Zeeshan,13 December 2019
No sound after just 4 days,Volume stopped working after just 4 days. Wanted to exchange for a new one but only the only option was a refund. Offer had finished that I purchased on and wanted £35 more for the same item. I find this totally unreasonable,1.0,Jake,20 April 2020
Excellent,Excellent tablet. Nice and quick with good graphics. Added bonus of show mode all for £59.99.,5.0,Stephen Mccarthy,12 January 2019
Fire HD 8,What's not to like. Very well put together. A real pleasure to use.,5.0,PeterRobin,3 June 2019
"Easy size to take out to friends and family, partner house , so I can keep up with my games","The kindle fire hd is a great tablet, I have been playing a game on my 2nd tablet for ages, and I use it for Facebook",5.0,MS TC  LOWTHER,30 June 2019
Good,Very good,5.0,JOHN MARIJETIC,3 July 2020
Great,Great,5.0,Bethany Travis,15 April 2020
Brilliant,Another brilliant amazon product,5.0,Mrs. Laura Anson,5 October 2019
Brilliant,Fantastic tablet great size love the colour defo recommend,5.0,Kimberley,10 May 2020
Very impressed,Daughter loves it,5.0,Amazon Customer,4 January 2020
wi fi,"would not advice anyone to buy this. it does not pick up wi fi. exchanged 3 times and never worked properly, on the third exchange I had the store person set it up at pc world and it did not work so got my money refunded.",1.0,simon,13 January 2020
Value for money,Bought to replace my old method of traveling with videos.,5.0,JIM MIDDLETON,1 December 2018
For films and retro gaming,"I use this primarily to watch films, TV and to use a retro gaming app. It works flawlessly for these uses. The close integration to my Amazon account is a massive bonus.",5.0,paul,7 December 2018
Can't set echo show mode to music alarms. Not supported.,"I got the fire HD8 because I have the fire HD10 5th Gen. The HD8 will be great for my travels. Great for Prime video downloads, & keeping in touch with family & friends.",5.0,Pete Smith,18 August 2019
Reliability,"Liked this product very much and have had some before,  over a ten year period and have always enjoyed owning them",5.0,lindyloo,25 August 2020
It's red,Good,5.0,eric,18 January 2020
Nice light tablet,Great product nice and light weight.,4.0,Dee patel,6 March 2019
Small and lightweight,Very good and happy. Just trying to sort out how to transfer photos from Apple Mac ProPerfect size for travel,5.0,Maria Wise,7 December 2018
"Good tablet, especially at the price",I brought with the Echo Show charger stand to use that way. Unfortunately it didn't perform as well as I hoped. I had to shout to get Alexa to respond and the show functionality is not polished enough yet.,4.0,Gary Connoley,29 April 2019
Brilliant,Bought for my wife she loves it,5.0,Amazon Customer,14 January 2019
Good value,Great purchase! Just perfect for my requirements.,5.0,Amazon Customer,28 December 2018
night vision good,long life of battery easy to use excellent performance perfect tablet,5.0,Karen,12 July 2019
Good product,"Like everything, use it most for reading.",5.0,Linda,5 January 2020
Love it.,I love it,5.0,jones,2 March 2020
Five Stars,Good tablet works well,5.0,Miss Maxine Higham,28 November 2018
Graphic &Video poor,Not as good as I thought it would be graphic and video quality poor.,3.0,aquablu,20 February 2020
HD in you're hand,"HD in you're hand can't ask for more. Easy to use from the start of you never had it used a tablet. I just love my Amazon kindle it's hard to keep me off it from reading ,playing games to watching tv.",5.0,Phillip Burden,2 February 2020
Buy,Great product for cost.,5.0,Eye candy,25 January 2019
Features,Still finding my way around but pleased with what I have achieved so far,4.0,Lizzie,25 May 2019
Superb,Good all rounder,5.0,Amy Cousins,2 January 2020
Audio volume poor,"Bought this product to listen to audio book,works ok but volume is not sufficient,will have to download an third party app to improve it",4.0,Robert MacIntyre,16 June 2019
Best buy,Very pleased with my kindle. Very fast and with a bigger and clearer screen,5.0,Shaz1,27 December 2019
Good product for the money,Very happy with the purchase. It's exactly what I expected.,5.0,Luciana Oliveira,25 September 2019
Get rid of adverts and games,I dislike all the games and adverts. I am 83. I don't play games. I only make purchases when I need to. I am never tempted by adverts!!!,3.0,Mrs M C Wellings,20 January 2020
brilliant,worth every penny,5.0,Amazon Customer,31 January 2020
Great product.,"Great size, excellent quality. Ideal size and easy to use.",5.0,Mr. neil carson mrs.stephanie carson,28 July 2019
New kindle,Use for downloading and reading. Sometimes facebook,5.0,pat,9 May 2019
It a good job,I got a new Amazon fire he 8 to place the other one.,5.0,kevin murray,31 October 2018
Cracking deal.,"Good value, purchased during Prime day.",5.0,Kevlon,8 August 2019
Great quality for price,Great tablet,5.0,Karen,13 January 2020
Value for money,You get what you pay for and this is value for money ( 50% off) in the sale,4.0,martyn pickard,14 February 2020
Perfect first tablet,My son loves it. Parental controls are very useful.,5.0,Customer X,22 June 2019
Value for money,Very good tablet son loves it,5.0,Doug,6 February 2020
Good value,Leisure,4.0,A P O'Kane,21 December 2018
Great,Perfect,5.0,emma,4 January 2020
Great purchase,I love this tablet.,5.0,Sarah,1 December 2018
Why spend enormous amounts on tablets,Brilliant and a great price,5.0,AnthonySAM,7 December 2018
Only a Kindle for me!,This is my third Fire HD their predecessors are now old and retired! The answer as always a new Kindle!,5.0,Robert Sinclair,17 November 2019
Battery life is superb.,"I loved my old Fire 7 but this is so superior in every way, well worth every penny.",5.0,Broxi,27 October 2019
Fire 8 HD tablet has multiple uses and is so versatile.,I use this for books mainly and music downloads.,5.0,Mrs J L Boorman,23 December 2019
Gift,Still finding out what it can do,5.0,wendy,6 February 2019
ok,ok,4.0,David lawrence,19 January 2019
Brilliant best in its class by a mile,Best tablets on the market forget ya iPad,5.0,Macca,2 March 2019
Great,Love it very easy to use,5.0,Judithann,15 November 2018
it`s a good size to fit in a handbag,Bought this for my wife who really enjoys it.,5.0,Derek Machan,23 August 2019
Excellent!,The best thing I did for my kids. And myself. 😄,5.0,Llysyn,4 June 2019
Great price for quality,"Easy to set up , great quality for a great price",5.0,m w merricks,19 November 2019
Love it!!,My hubby bought me this for xmas as my old one was getting a bit dodgy. I am made up with it.,5.0,Ayshea-Marie,17 January 2019
"Good price, quick delivery","Fire HD  8"" tablet , easy to set up. Didn't like the preloaded in-app purchases option all set to yes. Had to put in payments details even though we're not buying anything.",3.0,linda hosseny,15 January 2019
Good for kids,Kids are happy,3.0,Pawel L Dobroczek,27 October 2020
Great gadget,This is my 3rd Kindle fire. I'd be lost without mine. Great tablet for the money.,5.0,Mrs C E Dixon,15 January 2020
Excellent product,"Excellen product, easy to set up and use.",5.0,Kevin Wood,10 June 2020
"Second kindle, very happy.","The only problem I've had is I cannot get on my facebook or messenger app, I don't really miss this as I get both on my phone, but could be a problem for some.",5.0,caroline souter,6 November 2019
Much improved battery,"Big improvement over previous model. Much better battery life, improved sound and better screen view.",5.0,Dan Mallett,5 April 2019
Kids like it!,The battery life is really good.,5.0,honey,28 June 2019
Nice,My daughter like it,5.0,coreena Queen,16 February 2021
Very heavy but love it Thanks Amazon,Great product and price,5.0,Lesley,27 December 2018
One month with fire hd 8,"Had amazon fire for a month now and use daily, had no problems so far but find amazon apps limited but google apps can be added with a few downloads.",5.0,c i herbert,4 March 2020
Alexa is brilliant for elderly,Fantastic,5.0,Linda ashby,12 January 2019
Brilliant,Love reading books on this,5.0,donna,10 June 2020
Like it,It is quick and simple to use,5.0,Amazon Customer,3 March 2019
Very happy.,I wanted a bigger screen as I have always had the 7inch screen and the offer was the added incentive to trade up.,5.0,graham smithers,11 March 2020
My privacy,Does everything I need,5.0,Amazon Customer,4 January 2020
Size good easy to hold,Like the size easy to hold. Using instead of a laptop,5.0,christine hill,7 December 2018
"A piece of garbage, very small prime TV only","Platform is slow and sluggish, poorly layed out and not really a tablet at all (for Internet use)  this and its show doc are the worst amazon items I have purchased, even worse than the echo buttons",2.0,Foggy0140,24 October 2019
Very good tablet,A good buy in the Black Friday Sales,5.0,Christine Gledhill,7 December 2018
"Worth every pound I paid for it, you won't be disappointed",This was a gift that was very happily received,5.0,June Lonergan,21 January 2019
Works really well not had a problem,Handy has everything I need.,5.0,Amazon Customer,8 November 2019
Brilliant and quality stuff...highly recommended,The brilliant quality ...highly recommended,5.0,Mariyam_,30 July 2019
Really good tablet,Not a lot really all good at moment,5.0,cdc,12 October 2019
Very fast and clear,I liked how fast and clear the screen was.  All in all a good purchase I recommend.,4.0,roger partridge,29 December 2019
Kindle hd 8,Wicked kindle ☺☺  upgraded from version 3.  Mini tablet as well . Great valve for money .,5.0,Bronwen Hudd,15 May 2020
Good tablet,Nice good quality tablet ordered for my son,5.0,Kasiak,5 January 2020
You always find what you need.,I like playing the games on tablet. And music.,5.0,NIKOS PANAYIOTOU,2 November 2019
Picture quality,All good,5.0,jackie crump,4 September 2019
Great value,"Great value. Easy to use, integrates with Echo and Amazon features. Love it love it. Just add an SD card",5.0,Amazon Customer,11 December 2019
Item looks good,Only problem is there is so many opo ups,4.0,Amazon Customer,24 June 2019
H d quality good,The battery takes a while to charge and doesn’t last long in use you have to keep charge lead in if using for a long time,4.0,Gary C.,30 August 2019
good,battery seems to not last that long ? otherwise works fine,3.0,Victoria B.,1 December 2018
Not great,Bought for reading. Great if you download from Amazon. A lot of bother loading books I had already downloaded,3.0,Eremenko,9 March 2020
Highly recommend,I love it thank you,5.0,Ash...,13 August 2020
Good size,Good present,5.0,Susan Cox,2 January 2020
Arrived on time,Easy to use. Great size. Great definition when watching catch up TV,5.0,Amazon Customer,12 April 2019
Is ok,Good for the price,5.0,stefanot,2 April 2020
Worth the money,Does what I need it to do,5.0,Mister C,11 December 2019
Great bargain,Love it. Great for setting up my echo dot using the music app to select my play lists. Granddaughter loves it for playing her games,5.0,Lindsay,6 September 2019
Would buy again,Brilliant for kids,5.0,Green,2 February 2020
